ACM.x[0],ACM.x[1],ACM.x[2],ACM.x[3],ACM.Tem,CTRL.uMs_cmd,CTRL.uTs_cmd,CTRL.iMs_cmd,CTRL.iMs,CTRL.iTs_cmd,CTRL.iTs,ob.psi_mu_al,ob.tajima.omg*RAD_PER_SEC_2_RPM,ACM.rpm
1.11654,0,0.316085,0,0,4.0912,0,1.11557,1.11651,-0,0,0.329734,-6.65608,0
1.11669,0,0.316952,0,0,4.08864,0,1.11557,1.11666,-0,0,0.330603,-6.62709,0
1.11684,0,0.317815,0,0,4.08607,0,1.11557,1.11681,-0,0,0.331468,-6.5982,0
1.11699,0,0.318675,0,0,4.08351,0,1.11557,1.11696,-0,0,0.332329,-6.5694,0
1.11714,0,0.31953,0,0,4.08096,0,1.11557,1.11711,-0,0,0.333187,-6.5407,0
1.11728,0,0.320382,0,0,4.0784,0,1.11557,1.11726,-0,0,0.334041,-6.5121,0
1.11743,0,0.321231,0,0,4.07585,0,1.11557,1.1174,-0,0,0.334891,-6.4836,0
1.11757,0,0.322075,0,0,4.0733,0,1.11557,1.11754,-0,0,0.335737,-6.45519,0
1.1177,0,0.322916,0,0,4.07076,0,1.11557,1.11768,-0,0,0.33658,-6.42689,0
1.11784,0,0.323754,0,0,4.06821,0,1.11557,1.11781,-0,0,0.337419,-6.39867,0
1.11797,0,0.324587,0,0,4.06567,0,1.11557,1.11794,-0,0,0.338254,-6.37056,0
1.1181,0,0.325417,0,0,4.06314,0,1.11557,1.11807,-0,0,0.339086,-6.34255,0
1.11823,0,0.326244,0,0,4.0606,0,1.11557,1.1182,-0,0,0.339914,-6.31463,0
1.11835,0,0.327066,0,0,4.05807,0,1.11557,1.11833,-0,0,0.340738,-6.28681,0
1.11848,0,0.327886,0,0,4.05555,0,1.11557,1.11845,-0,0,0.341559,-6.25908,0
1.1186,0,0.328701,0,0,4.05303,0,1.11557,1.11858,-0,0,0.342376,-6.23146,0
1.11872,0,0.329513,0,0,4.05051,0,1.11557,1.1187,-0,0,0.343189,-6.20393,0
1.11884,0,0.330322,0,0,4.04799,0,1.11557,1.11881,-0,0,0.343999,-6.1765,0
1.11895,0,0.331126,0,0,4.04548,0,1.11557,1.11893,-0,0,0.344805,-6.14916,0
1.11907,0,0.331928,0,0,4.04298,0,1.11557,1.11904,-0,0,0.345608,-6.12192,0
1.11918,0,0.332726,0,0,4.04047,0,1.11557,1.11915,-0,0,0.346407,-6.09478,0
1.11929,0,0.33352,0,0,4.03797,0,1.11557,1.11926,-0,0,0.347203,-6.06774,0
1.11939,0,0.334311,0,0,4.03548,0,1.11557,1.11937,-0,0,0.347995,-6.0408,0
1.1195,0,0.335098,0,0,4.03299,0,1.11557,1.11948,-0,0,0.348783,-6.01395,0
1.1196,0,0.335882,0,0,4.0305,0,1.11557,1.11958,-0,0,0.349568,-5.9872,0
1.1197,0,0.336662,0,0,4.02802,0,1.11557,1.11968,-0,0,0.35035,-5.96054,0
